id,image_id,title,artist_title,department_title,category_titles,classification_titles,subject_titles,date_display,place_of_origin
48532,4188f4df-ca48-3e3a-ecdf-aa79771093c4,The Infants Christ and Saint John the Baptist Embracing,Joos van Cleve,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on panel,painting,european painting",,1520/25,Holland
7030,4c9a8fcd-afbf-b229-27fc-37ed46a0afe2,Growing City,Eleanor Coen,Contemporary Art,"Contemporary Art,Women artists","painting,modern and contemporary art","cities,mountains,buildings,landscapes,forests",1956,United States
145240,f05cbe93-769d-6a5a-8c52-5b5434d68149,Dorian Gray,Ivan Albright,Arts of the Americas,"Chicago Artists,SAIC Alumni and Faculty,Arts of the Americas","gouache,necktie,costume accessory worn above the waist,painting,modern and contemporary art,decorative arts",Chicago,1945,United States
24306,702580d8-451e-0b0c-bcc1-bac62e5f6631,Blue and Green Music,Georgia O'Keeffe,Arts of the Americas,"Women artists,Chicago Artists,SAIC Alumni and Faculty,Arts of the Americas","oil on canvas,painting,modern and contemporary art",,1919/21,United States
248974,fbfa3d47-04f4-3e6b-38ef-7793d8427b97,Goddess Durga Slaying the Buffalo Demon (Mahishasura),,Arts of Asia,Arts of Asia,"asian art,painting,watercolor",,1985,West Bengal
150042,78708277-c3bb-a231-a35e-321eeb286f42,The Elliott Room: Charter IV,Robert Ryman,Contemporary Art,Contemporary Art,"installation,modern and contemporary art,painting",,1987 [series 1985/87],United States
129862,269b23c9-90e2-61dd-0607-e2f7a1321dcf,"Lalita Ragini, Page from a Jaipur Ragamala Set",,Arts of Asia,Arts of Asia,"miniature painting,painting,asian art","music,musicians",1750/70,Rajasthan
69003,3cef23a8-7fca-59ce-a95d-4c27cd3d8f21,Self-Portrait,Nicolas de Largillière,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on canvas,painting,european painting",portraits,c. 1725,France
8900,5708fdd8-40e3-3c68-41bb-454684981dc5,Beauty Beneath a Willow Tree,Isoda Koryusai,Arts of Asia,Arts of Asia,"hanging scroll,painting,asian art",,"Edo period, c. 1780",Japan
198910,5a67db8d-0902-2d04-adc8-f67bf99a3529,Bamboo,Kishi Ganku,Arts of Asia,Arts of Asia,painting,,early 19th century,Japan
220179,e3ff96fe-3c0a-dd53-661a-233ffc45fdd0,Object with Number 1,Joaquín Torres Garcia,Modern Art,"Modern Art,Latin American",painting,numbers,1932,Uruguay
190835,bcc7412c-78aa-394e-6c22-588b187cc88c,Two Eiffels,Kay Rosen,Contemporary Art,"Contemporary Art,Women artists,Chicago Artists",painting,,1989,United States
40381,3bae5e81-c63d-6118-2322-02fd447fbf5b,In the Woods,Imitator of Narcisse Virgile Diaz de la Peña,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on canvas,painting,european painting",,c. 1860,France
185764,798bb27f-379a-f910-2aa1-65555e70749b,Still Life Filled with Space,Le Corbusier (Charles-Édouard Jeanneret),Modern Art,Modern Art,"painting,oil on canvas",,1924,
229358,446680d8-037b-aea7-738e-62ac5765aaa3,Self-Portrait,Andy Warhol,Contemporary Art,Contemporary Art,"acrylic paintings (visual works),painting",,1964,United States
100060,7403cc73-8d41-1464-18df-4b6e89affff0,Alexander at the Tomb of Cyrus the Great,Pierre Henri de Valenciennes,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on canvas,painting,european painting",,1796,France
156600,1c9ab509-5711-3f06-3eba-f855797c95bd,The Indestructibles,Philip Evergood,Arts of the Americas,Arts of the Americas,"oil on canvas,painting,modern and contemporary art",,1946,United States
111671,cd544f40-0226-b2ce-cf8a-419fde75d643,King David Receiving the Cistern Water of Bethlehem,Antwerp Mannerist,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on panel,painting,european painting",,1515/20,Belgium
12408,6550ee41-15f6-3cd6-9ac4-402090726faa,Ladder to the Light,Wifredo Lam,Modern Art,"Modern Art,Latin American","painting,modern and contemporary art","ladders,Santeria,black (color),white (color),pink (color),abstract forms,geometric",1951,Cuba
20579,2ae64c8a-266d-470a-a25a-c83127564636,Hercules and the Lernaean Hydra,Gustave Moreau,Painting and Sculpture of Europe,"Painting and Sculpture of Europe,Halloween","oil on canvas,painting,european painting","mythology,plaid,circles,mysteries/fantasies,landscapes",1875/76,France
193425,74089a1d-ef1d-8597-ec1b-cc3e34192540,Avant le jour,James Bishop,Contemporary Art,Contemporary Art,painting,,1986,United States
16324,a9a7c804-dc4e-d779-22b7-eaae989c6acd,"Portrait of Louise de Halluin, dame de Cipierre",Corneille de Lyon,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on panel,painting,european painting","Century of Progress,world's fairs,Chicago World's Fairs",c. 1555,France
52980,7a234567-f4e5-b0a5-8408-eb82938fb565,The Alameda,Emil Armin,Arts of the Americas,Arts of the Americas,"painting,modern and contemporary art",,1928,United States
29488,b060eb1e-4496-50aa-9c27-63d8d3911de4,Woman Grasping Tree Branch,,Arts of Asia,Arts of Asia,"miniature,asian art,painting",,18th/19th century,India
129874,1688e477-1197-7d1a-0ec3-5f7512b0b43e,"Ragini Dhanashri, Page from a Jaipur Ragamala Set",,Arts of Asia,Arts of Asia,"miniature painting,painting,asian art","music,musicians",1750/70,Rajasthan
150054,7be77291-9b19-5bf7-09dc-52be533bff73,Elizabeth Grant Bankson Beatty (Mrs. James Beatty) and Her Daughter Susan,Joshua Johnson,Arts of the Americas,"African American artists,African Diaspora,Arts of the Americas","painting,american arts","fashion,children,families,portraits,people",c. 1805,Baltimore
81558,321c45f5-22a3-84a2-44cc-cf66642d4cf2,Acrobats at the Cirque Fernando (Francisca and Angelina Wartenberg),Pierre-Auguste Renoir,Painting and Sculpture of Europe,"Painting and Sculpture of Europe,Essentials","painting,european painting","Century of Progress,portraits,work,leisure,children,world's fairs,Chicago World's Fairs,uniforms,acrobats,fruit,oranges",1879,France
16261,fd1a9c27-d95b-d8e7-209c-5492d9eb6e92,Lamentation over the Body of Christ,Gerard David,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on panel,painting,european painting","Century of Progress,world's fairs,Chicago World's Fairs",c. 1500,Netherlands
104259,cb2a5848-c125-8a0f-d05c-eb958b6ba94f,Self-Portrait (No. 1),Ivan Albright,Arts of the Americas,"Chicago Artists,SAIC Alumni and Faculty,Arts of the Americas","painting,modern and contemporary art","Chicago,people,portraits",1981,United States
109938,564e2e3f-eb93-88a7-d265-8fea006facff,"Valley of Aosta: Snowstorm, Avalanche, and Thunderstorm",Joseph Mallord William Turner,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"painting,european painting",,1836/37,England
102227,91a0f717-5508-af8a-4cef-9cbbc790287d,The Expulsion of Adam and Eve from Paradise,Benjamin West,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on canvas,painting,european painting",,"1791, retouched 1803",England
34310,1e1bd116-2cb0-f7ab-afce-dad372f2559b,Painted Banner (Thangka) of Sage Guru Padmasambhava Seated Holding a Thunderbolt (Vajra) and Skull Cup (Kapala),,Arts of Asia,Arts of Asia,"painting,asian art",,18th century,Tibet
108850,704ab5af-778a-6bd6-22c1-96fb5ae03886,Page from a Copy of The Qur'an,Islamic,Arts of Asia,Arts of Asia,"calligraphy,manuscript,asian art,painting",,16th/17th century,Iran
90060,322d6d16-0fe2-c03e-9441-8a6c25cc6396,Sinan the Jew and Haireddin Barbarossa,Imitator of Gentile Bellini,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"tempera,painting,european painting","Century of Progress,world's fairs,Chicago World's Fairs",c. 1535,Northern Italy
100830,5b47411e-93d7-580f-be82-d122d7a525e0,Untitled XI,Willem de Kooning,Contemporary Art,Contemporary Art,"painting,modern and contemporary art",,1975,United States
99611,44a2255f-ed7b-51e3-e706-f3d0bffc5bc8,11/19/73,Bruce Conner,Contemporary Art,Contemporary Art,"painting,modern and contemporary art",,1973,United States
80575,dcdb3fae-0c6f-f729-fb4c-bc18cdd9f980,Jungle Symphony,Charles Georges Dufresne,Modern Art,Modern Art,"oil on canvas,painting,modern and contemporary art",,1921,France
111667,64e61ae0-3d2a-8348-c9b8-c1c30e6942c3,Festival in Piazza Navona,Giovanni Paolo Panini,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on canvas,painting,european painting",,1729,Italy
70371,c4892b26-77bd-a38f-63b6-364dcb681c04,Lost Horizon,Robert Bourdon,Contemporary Art,Contemporary Art,"sculpture,modern and contemporary art,painting",,1980,United States
93924,c5152826-4ba0-9d07-f5a8-b853bce49d1a,A Polo Game: Page from a Kulliyyat (Collected Works) of Sa'di,Islamic,Arts of Asia,Arts of Asia,"miniature painting,painting,asian art",,"Safavid dynasty (1501–1722), 16th century, c. 1585",Shiraz
16689,e215278f-d100-aa7e-04a8-691b981d2a39,Two Voices: Harmony and Discord,Arthur B. Davies,Arts of the Americas,Arts of the Americas,"painting,modern and contemporary art","Century of Progress,world's fairs,Chicago World's Fairs",c. 1910,United States
24202,e127aa5e-2154-5116-76e1-0c3f0c4a7cb4,La Java,Georges Emile Capon,Modern Art,Modern Art,"painting,modern and contemporary art","women,alcohol,hats,makeup,hairstyles,fashion,dresses,bars,interiors,dancing,dancers,men",1925,France
16373,ad7deb75-7dce-05dd-3b42-bddea6f51ba6,Little Girl Pouting,Follower of Jean Baptiste Greuze,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on canvas,painting,european painting",,1775/1800,France
893,3527f037-a9b2-9253-1a92-dcd281b54340,Landscape,Théodore Rousseau,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"painting,european painting",,c. 1850,France
131906,34e256c1-7729-0637-6abc-e94a87aa4431,Iskander Comforts the Dying Darius,,Arts of Asia,Arts of Asia,"gouache,painting,asian art",,1590,Iran
146991,ba0756fd-837e-224d-1711-f6486ed2335d,Untitled,Clyfford Still,Contemporary Art,"Contemporary Art,Essentials","oil on canvas,painting,modern and contemporary art","yellow (color),red (color),black (color),orange (color)",1958,United States
186365,50cda425-973d-8764-9862-0e994ff3a593,Sienna,Cecilia Edefalk,Contemporary Art,"Contemporary Art,Women artists",painting,,1999,
242591,515d2e7c-9349-a2d8-e085-2b931b3c0723,Ode To Falling Blossoms,Wang Dongling,Arts of Asia,"Japanese,Arts of Asia","asian art,painting",,2017,
27992,1adf2696-8489-499b-cad2-821d7fde4b33,A Sunday on La Grande Jatte — 1884,Georges Seurat,Painting and Sculpture of Europe,"Painting and Sculpture of Europe,Art Institute Icons,Essentials","oil on canvas,painting,european painting","Century of Progress,animals,urban life,weather/seasons,leisure,men,women,children,circles,landscapes,water,world's fairs,Chicago World's Fairs",1884/86,France
72177,7bc2549a-7c93-cffd-49ad-f93df587102c,Heart of Darkness,Sean Scully,Contemporary Art,Contemporary Art,"painting,modern and contemporary art","lines,geometric,grids",1982,United States
110867,f67d49b0-90a6-7aa3-29ab-77e5d1e9fd9c,Tight-Rope Walker,Jean Louis Forain,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on canvas,painting,european painting","Century of Progress,women,work,leisure,night scenes,urban life,world's fairs,Chicago World's Fairs",c. 1885,France
10161,1866ea09-4fc4-4272-ad60-28595393b8e3,"Glittering, the Being",Matta,Contemporary Art,"Latin American,Contemporary Art","painting,modern and contemporary art","abstract forms,yellow (color),pink (color),white (color),black (color)",1958,Chile
14572,6f513908-03cc-b974-633b-adfce56b7936,The Millinery Shop,Hilaire Germain Edgar Degas,Painting and Sculpture of Europe,"Painting and Sculpture of Europe,Essentials","painting,european painting","women,everyday life (genre),work,urban life,Century of Progress,world's fairs,Chicago World's Fairs,hats",1879/86,France
152747,3192ae4d-ffca-fe91-af12-2ca681f43e13,"York Harbor, Coast of Maine",Martin Johnson Heade,Arts of the Americas,Arts of the Americas,"painting,american arts","landscapes,sailing,ships,water,Maine,harbors",1877,York Harbor
199643,15b4769f-9e37-db77-fab3-2668565173fa,"Presentation of Offerings, from a Set of Initiation Cards (Tsakali)",,Arts of Asia,Arts of Asia,"ink,painting",,14th/15th century,Tibet
75574,843da8dd-8b6e-38d6-66e8-b0a2045315b0,Song of a Fisherman,Wang Wên,Arts of Asia,Arts of Asia,"handscroll,painting,asian art",,Ming dynasty (1368–1644),China
27357,709f364e-4594-779d-53a7-315b36db8048,"English Harbor, the Pier at Brighton",Robert Bartholow Harshe,Arts of the Americas,Arts of the Americas,"painting,modern and contemporary art",,c. 1930,United States
111630,a05ed5e5-eb97-451a-9bc0-50108ab9dbe3,The Church of Overschie,Johan Barthold Jongkind,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on canvas,painting,european painting","weather/seasons,urban life,water,landscapes",1866,Holland
146905,99956788-7a7d-2133-f2c0-7648593395cc,Explosion at Sea,Vija Celmins,Contemporary Art,"Contemporary Art,Women artists","oil on canvas,painting,modern and contemporary art","explosions,waves,seas,oceans",1966,United States
111077,6cbd513d-b486-5a67-f852-18af2ee32fcf,YO + U,Matta,Modern Art,"Modern Art,Latin American","painting,modern and contemporary art",,1949,Chile
27510,458698d3-4cc4-bf0d-ae61-edfe4f5edaa6,The Poet Du Fu Riding a Donkey,Kanô Shigenobu,Arts of Asia,Arts of Asia,"hanging scroll,painting,asian art",,early 17th century,Japan
201921,bac5a352-8b96-db9d-1ee0-e490832f46e4,Gray,Gerhard Richter,Contemporary Art,Contemporary Art,painting,,1972–73,
111427,ad3f403a-62e5-3d91-3a8c-ecc5f4fc99e5,"Democritus, the Laughing Philosopher",Spanish School,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on canvas,painting,european painting",,c. 1630,Netherlands
79310,cfb93975-cf1f-ccf9-9169-f318ff3d5584,Pulling Oars under Clearing Autumn Skies (Distant Mountains),Lu Zhi,Arts of Asia,Arts of Asia,"hanging scroll,painting,asian art",,Ming dynasty (1368–1644); c. 1545,China
109914,89a21b2f-c010-1752-4273-65f95096f9f0,Eating Out,Edouard Goerg,Modern Art,Modern Art,"painting,modern and contemporary art","Century of Progress,world's fairs,Chicago World's Fairs",c. 1928,France
104275,020ac0c4-bc6d-17a9-ad66-395411824d54,Self-Portrait (No. 17),Ivan Albright,Arts of the Americas,"Chicago Artists,SAIC Alumni and Faculty,Arts of the Americas","painting,modern and contemporary art","Chicago,people,portraits",June 1983,United States
101077,d39cc144-3e37-7fdf-a16b-c983218d82f7,Adam and Eve in Paradise,Francesco Solimena,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"painting,european painting",,c. 1700,Italy
81574,f0b3ff64-d68e-3fd2-ffc9-5470eb9fea6e,Grey and Silver: Old Battersea Reach,James McNeill Whistler,Arts of the Americas,Arts of the Americas,"painting,american arts","landscapes,Century of Progress,world's fairs,Chicago World's Fairs",1863,London
14620,b0effb1c-ff23-bbaa-f809-9fd94e31c1a0,Cliff Walk at Pourville,Claude Monet,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"painting,european painting","landscapes,women,weather/seasons,leisure,water,Century of Progress,world's fairs,Chicago World's Fairs",1882,France
129858,6ede259f-4d92-006a-31d3-593791a8fc27,"Malashri Ragini, Page from a Jaipur Ragamala Set",,Arts of Asia,Arts of Asia,"miniature painting,painting,asian art","music,musicians",1750/70,Rajasthan
194773,c0e3572f-f756-a351-fe0f-bcecb20a5090,Sketch for a Ceiling Fresco,Giovanni Domenico Ferretti,Painting and Sculpture of Europe,Painting and Sculpture of Europe,painting,,c. 1740,
61665,2f047ef8-34c1-4fcf-37ee-6f433ff9091f,Saint Romanus of Antioch and Saint Barulas,Francisco de Zurbarán,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on canvas,painting,european painting",,1638,Spain
20390,e7f197b8-193e-456c-619e-c127a03e4a6c,Descent from the Cross,Abraham Rattner,Arts of the Americas,Arts of the Americas,"painting,modern and contemporary art",,1942,United States
247707,5ebaed43-07f8-39cf-82bd-fdefe459809c,Transition,Jon Schueler,Contemporary Art,"Contemporary Art,Modern Art",painting,abstraction,1955,New York City
229362,a0eaf95b-694c-f6fa-1a33-90777b5c62ca,Pat Hearn,Andy Warhol,Contemporary Art,Contemporary Art,"acrylic paintings (visual works),painting",,1985,United States
140644,bb2814ad-be72-985e-8683-6b70bb6b71fd,Self-Portrait,Archibald John Motley Jr.,Arts of the Americas,"African American artists,Chicago Artists,African Diaspora,SAIC Alumni and Faculty,Arts of the Americas","oil on canvas,painting,modern and contemporary art","Chicago,people,portraits",c. 1920,Chicago
20543,464827b1-0dc5-5522-4dad-6dd085d98367,Landscape,Gustave Loiseau,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on canvas,painting,european painting",,c. 1900,France
59899,4d3a50f1-12e4-463a-52d4-a88a2a8b425f,Coast of Cornwall,George Inness,,,"painting,american arts","Century of Progress,world's fairs,Chicago World's Fairs",1887,United States
28173,50ac4789-b167-eb84-b8da-3b3ddc1c095d,The Resurrection,Bartholomeus Breenbergh,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on panel,painting,european painting",,c. 1635,Holland
214559,dafcf5fe-5b08-414e-83f8-dca8b6c836cd,Between a Rock and a Hard Place,Kay Rosen,Contemporary Art,"Contemporary Art,Women artists,Chicago Artists","installation,painting",,2012,United States
102088,2f7bd26c-ffdf-0b4a-f1e2-8acd09554023,Assumption of the Virgin,Marcellus Koffermans,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"painting,european painting",,16th century,Flanders
24445,b1dbd48d-6eb6-702d-15a4-2937483af60d,Beauty Replacing Her Hairpin,Chôbunsai Eishi,Arts of Asia,Arts of Asia,"hanging scroll,painting,asian art",,"Edo period, 1798",Japan
104672,3db962fb-17bc-2788-3e1d-4adf15f2ba6d,Mrs. Samuel Hall Williams (Abigail Swing),Thomas Eakins,,,"painting,american arts",,1876,Philadelphia
11025,ff9aca7d-dd52-0e40-22d0-53bcc058a73c,Captain John Garish,John Smibert,Arts of the Americas,Arts of the Americas,"painting,american arts","fashion,people,portraits",1737,United States
71777,2330d78d-3ced-8c4f-0b54-e2db00c48656,Prunus and Bamboo,Lin Xue,Arts of Asia,"Arts of Asia,Women artists","hanging scroll,painting,asian art",,"Ming dynasty (1368–1644), 1621",China
244890,9ecfdb18-39bd-167b-8c93-47d974c3f7a4,Untitled (Rack),Vivian Suter,Contemporary Art,"Contemporary Art,Women artists",painting,"trees,foliage,forests,immersive environments",n.d.,
57215,976bc367-269d-17ff-0151-16b9c973aae4,Storm in Umbria,Elihu Vedder,Arts of the Americas,Arts of the Americas,"painting,american arts",landscapes,1875,Umbria
146952,7514db03-b320-338b-05e9-23aca6676a88,Death of the Infant Bethel,Bob Thompson,Contemporary Art,"African American artists,African Diaspora,Contemporary Art","oil on canvas,painting,modern and contemporary art",,1965,United States
133852,56adb33f-d208-2932-9f91-d48ba7088995,Self-Portrait,Gertrude Abercrombie,Arts of the Americas,"Chicago Artists,Women artists,Arts of the Americas","painting,modern and contemporary art","portraits,people,Chicago",1942,Chicago
154129,ae9da2f7-4caf-6fde-885e-b56b0ff1e6c0,Towards Identity,Nelson Stevens,Contemporary Art,"Contemporary Art,African American artists,African Diaspora","oil on canvas,painting,modern and contemporary art","Chicago,African American,painting,portraits,women",1970,United States
185070,b8ae2529-0103-7b2e-c381-f1b7ad301bb8,One at the Time,Michael Borremans,Contemporary Art,Contemporary Art,"painting,oil on canvas",,2003,Belgium
26643,306b073a-8ba7-3ce9-bafb-5522225a1535,Twentieth Century Ruin,Alexander Brook,Arts of the Americas,Arts of the Americas,"painting,modern and contemporary art",,1932,United States
5349,f72dbf42-8655-8788-d899-9e87a0466d28,New England Headlands,Childe Hassam,Arts of the Americas,Arts of the Americas,"painting,american arts","landscapes,weather/seasons,water,Century of Progress,world's fairs,Chicago World's Fairs,architecture",1899,Gloucester
40616,b2023ca4-d773-a394-31a5-f94d0fef0961,Jean Bellows,Eugene Speicher,Arts of the Americas,Arts of the Americas,"painting,modern and contemporary art",,1940,United States
6565,b94609f5-4753-ba4a-d6bc-9960f9f60915,American Gothic,Grant Wood,Arts of the Americas,"Art Institute Icons,Essentials,SAIC Alumni and Faculty,Arts of the Americas","oil paintings (visual works),painting,modern and contemporary art","farm life,Century of Progress,world's fairs,Chicago World's Fairs,architecture,Chicago,fashion,people,portraits",1930,United States
220544,9c0ac368-7780-4b8c-5ec4-53e7b3bfb23f,Untitled,Günther Förg,Contemporary Art,Contemporary Art,"acrylic paintings (visual works),painting",,1990,
118597,79ebd91e-d0b0-d82e-446c-b33da86c4fb0,Departure of Summer,Man Ray (Emmanuel Radnitzky),Modern Art,Modern Art,"painting,modern and contemporary art",,1914,United States
185359,cd322e4e-ba39-7cc0-3e48-02ceece93fb2,From The Mountain Lake Screen Tachi Series,Ôkura Jirô,Arts of Asia,Arts of Asia,"screen,painting",,1990,Japan
118578,0d2ba269-48fc-5416-7f81-9b36db07dda0,January 1957 (Goblets in Shadow),Ben Nicholson,Contemporary Art,Contemporary Art,"painting,modern and contemporary art",,January 1957,England
145807,79b94ddd-e208-1993-01ab-98f75174fe88,Thistles,John Singer Sargent,Arts of the Americas,Arts of the Americas,"painting,american arts","Chicago,still life",1883/89,England
109693,c7686c63-3aca-64b6-6710-02f34ccd0767,The Banks of the River Durance at Saint Paul,Paul Camille Guigou,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on canvas,painting,european painting",,1864,France
50303,7b540d96-1b2a-3e23-c2e4-ddb8096d70a6,Horse,Jean François Millet,,,"painting,european painting",,c.1841,France
118981,0b884b37-acec-7c15-5077-927bb991f69e,Corpse and Mirror II,Jasper Johns,Contemporary Art,Contemporary Art,"oil on canvas,painting,modern and contemporary art",,1974/75,United States
184362,4f3baaee-14ea-81e0-6252-447ab15a9b1d,Mirror #3 (Six Panels),Roy Lichtenstein,Contemporary Art,"Contemporary Art,Essentials","painting,oil on canvas","graphic,panels,mirrors",1971,United States
24687,b3688c8c-06f2-2a35-56bb-19de1a05344e,Yellow Hickory Leaves with Daisy,Georgia O'Keeffe,Arts of the Americas,"Women artists,Chicago Artists,SAIC Alumni and Faculty,Arts of the Americas","oil on canvas,painting,modern and contemporary art",,1928,United States
81535,8be90e71-83c3-3f98-a972-4acb9ce0e773,"Sea View, Calm Weather (Vue de mer, temps calme)",Édouard Manet,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"painting,european painting","weather/seasons,water,transportation,landscapes",1864,France
218612,a49b6d1a-2f9a-a05d-0c26-3b8c779c78ef,Khee II,Jack Whitten,Contemporary Art,"African Diaspora,Contemporary Art,African American artists","acrylic paintings (visual works),painting",lines,1978,United States
16349,50931576-e0cd-3616-4668-7dbdcf6185de,Travellers Arriving at an Inn,Pieter De Neyn,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"painting,european painting","Century of Progress,world's fairs,Chicago World's Fairs",1630/40,Netherlands
70035,bbb8539a-5d43-0c6b-ca68-61adcb08c370,Ballet Skirt or Electric Light,Georgia O'Keeffe,Arts of the Americas,"Women artists,Chicago Artists,SAIC Alumni and Faculty,Arts of the Americas","oil on canvas,painting,modern and contemporary art",,1927,United States
160030,107dd824-9ae2-b091-9787-5901d5e300da,The Ecstasy of Saint Francis,Giovanni Baglione,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on canvas,painting",,1601,Italy
230381,a8b8f1e1-5f1b-3328-2848-e1cc29ad21fc,"Mass Tone Painting: Alizarin Crimson, April 24, 1974",Marcia Hafif,,Women artists,painting,,1974,United States
49708,6b5d02d1-d607-e0f0-19f9-9634c45bd855,The Song of the Poet,Peppino Mangravite,Arts of the Americas,Arts of the Americas,"painting,modern and contemporary art",,1944,United States
131896,3efc0a83-1f6d-7ee2-4338-22e348424756,Double Title Page of a copy of the Shahnama of Firdausi,Islamic,Arts of Asia,Arts of Asia,"gouache,painting,asian art","writing,blue (color),gold (color)","Safavid dynasty (1501–1722), 16th century, c.1550",Iran
59421,ea7337ab-2828-a953-5860-33a2dc028103,A Bundle of Lavender,Augustus Edwin John,Modern Art,Modern Art,"painting,modern and contemporary art","women,farm life,farming,plants,labor",1910,England
193331,a9caa21d-5835-f830-62b2-b1f95b1207a5,Window Dream No. 26,Wucius Wong,Arts of Asia,Arts of Asia,"ink,painting",,2004,China
41441,277a3134-d98a-3c5f-488d-4c92ef6fdd9a,Manhattan Dawn,Lyonel Feininger,Modern Art,Modern Art,"painting,modern and contemporary art","skyscrapers,pink (color),water towers,city scenes,cities",1944,United States
228861,ca1921d6-ce8a-03fc-270b-9fa0fdabd892,Midnight Garden,Imran Qureshi,Contemporary Art,Contemporary Art,"acrylic paintings (visual works),painting",,2014,
8097,1b605198-afe5-1052-3c7b-0c08734238e1,Landscape with Rock and Fortress,Domenico Gargiuli (Micco Spadaro),Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on canvas,painting,european painting",,c. 1640/50,Italy
118978,60dfae2d-9ab3-f468-a7a6-c00443f35246,Red-Haired Girl,Emil Nolde,Modern Art,Modern Art,"oil on canvas,painting,modern and contemporary art",,1919,Germany
60259,781513e2-b5bd-2b7c-3156-9db115f2d22f,Towards the Unknown,Gunther Gerzso,Contemporary Art,"Contemporary Art,Latin American","painting,modern and contemporary art","geometric,Voids,abstract shapes,green (color)",1950,México
59837,173911e9-689c-234c-ec2b-e8c2c6c76586,The Crucifixion,,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on panel,painting,european painting",,1494,Austria
43169,7e8cd885-32c2-2721-0440-71064338a36e,Landscape 山水扇面,Pei Zhi,Arts of Asia,Arts of Asia,"album leaf,fan,painting,asian art",,Ming dynasty (1368–1644) 明朝,China
71018,e1826a0c-e20a-0e5e-a9e3-abf4fe123884,Head of a Roebuck and Two Ptarmigan,Edwin Henry Landseer,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on panel,painting,european painting",,c. 1830,England
16575,5fe8ea6b-e772-fc1b-e41d-fc47ca3f5fcd,"Venice, San Giorgio Maggiore",Claude Monet,,,"painting,modern and contemporary art",landscapes,1908,France
97398,09e69bea-c7c2-b957-56be-60597c13ce98,Leaning Tower of Touhy,Roger Brown,Contemporary Art,"Contemporary Art,Chicago Artists,SAIC Alumni and Faculty","painting,modern and contemporary art",,1980,United States
234004,86f8596f-6fc2-5f28-dc26-8526b5da2290,Untitled 72–12–A,"Chung, Sang-Hwa",Contemporary Art,Contemporary Art,"acrylic paintings (visual works),painting",patterns,1972,
11434,1f5b595f-dbbd-3c9d-ca49-9263c3d93841,Salome with the Head of Saint John the Baptist,Guido Reni,Painting and Sculpture of Europe,"Painting and Sculpture of Europe,Essentials","oil on canvas,painting,european painting","biblical,Salome,saints,Saint John the Baptist,violence,death,decapitation",c. 1639/42,Italy
14636,fa99a4c9-da69-1254-2038-64e4b755a49f,On the Upper Deck (The Omnibus),Pablo Picasso,,,"painting,modern and contemporary art","Century of Progress,water,transportation,world's fairs,Chicago World's Fairs",1901,Spain
81562,4872e681-f833-1533-0bc2-dbc8241cfdb8,Woman from Brittany,Pascal-Adolphe-Jean Dagnan-Bouveret,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"painting,european painting",,1886,France
66159,e0bf3630-f854-e621-cdd5-5ca13fd13d33,The Glass,Pablo Picasso,Modern Art,Modern Art,"painting,modern and contemporary art","geometric,lines,abstract shapes",1911/12,Spain
104263,e25a910d-f8ed-34d3-dd37-6c83bbc22123,Self-Portrait (No. 5),Ivan Albright,Arts of the Americas,"Chicago Artists,SAIC Alumni and Faculty,Arts of the Americas","painting,modern and contemporary art","Chicago,people,portraits",1981,United States
68517,121ff54b-91fb-99d3-ba2f-52a28f5e4a8f,Shop Girls,Elizabeth Sparhawk-Jones,Arts of the Americas,"Women artists,Arts of the Americas","painting,modern and contemporary art","fashion,Century of Progress,world's fairs,Chicago World's Fairs",c. 1912,United States
