id,image_id,title,artist_title,department_title,category_titles,classification_titles,subject_titles,date_display,place_of_origin
229406,362c0c2a-4576-2207-4ba9-2b87e6d0bad0,Liz #3 [Early Colored Liz],Andy Warhol,Contemporary Art,Contemporary Art,"acrylic paintings (visual works),painting","actresses,celebrities",1963,United States
73645,0bbd74cc-32ab-ca1b-737f-16359e9f2ed7,Still Life,Jean Lurçat,Modern Art,Modern Art,"painting,modern and contemporary art","still life,abstract shapes",1930,France
120672,a8eadbd0-f4a1-0934-0470-3a53557fae7f,Seine and Pont Royal,Henri-Eugène Le Sidaner,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"painting,modern and contemporary art",,1905/10,France
185190,7ebb868a-19b4-381b-4180-5fabd19ac48f,Face Holding a Leaf,Léopold Survage,Modern Art,Modern Art,"painting,oil on canvas",,c. 1934,France
70593,85309ed9-b889-16fb-2fc7-57f1c97c3820,Garden Scene,Islamic,Arts of Asia,Arts of Asia,"miniature painting,painting,asian art",,"Timurid dynasty (ca. 1370–1507), mid–15th century",Herat
4791,c15f9720-702d-10ee-85f8-80008d2bc8ca,Mrs. Francis Russell,George Romney,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on canvas,painting,european painting","Century of Progress,world's fairs,Chicago World's Fairs",1785/87,England
111656,3fa3855e-d7e7-d2a4-0f95-a38268026bad,Pardon in Brittany,Gaston La Touche,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on canvas,painting,european painting","Century of Progress,world's fairs,Chicago World's Fairs",1896,France
102580,12b68b79-ca4c-930d-0f05-1d329658e0df,Otium cum Dignitade,Hans Hofmann,,,"painting,modern and contemporary art",,1964,United States
18472,93eb462b-9690-353e-e37a-71a1aab97211,"The Ascent of the Prophet to Heaven, page from the Khamsa of Nizami",Islamic,Arts of Asia,Arts of Asia,"miniature painting,painting,asian art",,"Safavid dynasty (1501–1722), 16th century, c. 1600",Iran
151048,9d839cee-c9a0-636e-b5e9-89a0cd71d239,Yang Guifei,Katsukawa Shunsho,Arts of Asia,Arts of Asia,"hanging scroll,painting,asian art",,1789-92,Japan
158639,52bf8856-560d-d3cc-2d62-2a7b06e00c5e,Blue Note,Judith Godwin,Contemporary Art,"Contemporary Art,Women artists","oil on canvas,painting,modern and contemporary art",,1982,United States
103391,1a0b480a-7bb3-587a-2461-4cbd3ed2508d,Mephisto from the Opera Faust,Adolphe Joseph Thomas Monticelli,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on panel,painting,european painting",,1870/86,France
218072,629e6e88-5776-8ba5-e49f-fda92cdbac93,Portrait of a Man in a Red Cap,,Painting and Sculpture of Europe,Painting and Sculpture of Europe,painting,,c. 1480,Southern Germany
9320,9b82ab4a-abee-0f04-5a4f-1fd4039ac341,My Mother,George Wesley Bellows,Arts of the Americas,Arts of the Americas,"painting,modern and contemporary art","Century of Progress,mothers,world's fairs,Chicago World's Fairs,people,portraits",March 1921,United States
109323,5c9cfee1-4287-1494-dcf6-4a967c734a44,Virgin and Child with the Young Saint John the Baptist,Jacopo Bassano,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on canvas,painting,european painting",,1560/65,Italy
241158,87f52901-795b-19dd-8215-c5d94ce61d90,"Painting 190 x 222 cm, 5 February, 2012 (Peinture 190 x 222 cm, 5 février 2012)",Pierre Soulages,Contemporary Art,Contemporary Art,painting,,2012,
36936,38d7d91b-2d88-0f05-0d0e-7105e8ed66de,Allegheny Uprising,Billy Al Bengston,Contemporary Art,Contemporary Art,"painting,modern and contemporary art",,1970,United States
16179,336a83f3-c184-add1-ee03-f295aa97a0b0,The Dream of Saint Jerome,Matteo di Giovanni,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"tempera,painting,european painting","Century of Progress,world's fairs,Chicago World's Fairs",1476,Italy
15305,ac23f590-c2b3-0560-5058-ae4cc59b890d,Virgin and Child Adored by Saint Francis,Francesco Albani,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on copper,painting,european painting",,c. 1606/07,Italy
76781,e86b6d07-b669-1ece-8ebf-e013c71e50ce,Leo Ornstein at the Piano,Leon Kroll,Arts of the Americas,Arts of the Americas,"oil on canvas,painting,modern and contemporary art","Century of Progress,world's fairs,Chicago World's Fairs",1918,United States
224326,88fd4c7e-c0c3-3c95-48f0-6d61c57c76e1,Interventionist Demonstration (Why-A-Duck?),Charline von Heyl,Contemporary Art,Contemporary Art,"acrylic paintings (visual works),painting",,2013,
144972,f021d551-75a9-9dc4-9a14-19b35be6138e,"Painted Banner (Thangka) with Guru Dragpur, a Wrathful Form of Padmasambhava",,Arts of Asia,Arts of Asia,"tankas (scrolls or banners),painting,asian art",,18th/19th century,Tibet
13455,591b86ab-c0a9-77f7-c4bf-a330498b9c02,Clouds over the River before Rain 溪雲欲雨圖卷,Shen Zhou,Arts of Asia,Arts of Asia,"handscroll,painting,asian art",,"Ming dynasty (1369–1644), dated 1504 明朝",China
16207,bbb6f90d-3213-8961-14b9-5fd1fa7dc971,Noli Me Tangere,Perugino,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"tempera,painting,european painting","Century of Progress,world's fairs,Chicago World's Fairs",1500/05,Italy
59646,8806d7fe-0e1d-128a-5e2b-67fbbdb009cb,"Oct. 31, 1978 (Today Series, ""Tuesday"")",On Kawara,Contemporary Art,Contemporary Art,"painting,modern and contemporary art","dates,text",1978,United States
